model_id,snr_db,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,10,prediction_concentration,5,0.1431818181818182,0.008369069381600897,0.13279024603221493,0.15357339033142145,0.1290909090909091,0.14545454545454545,0.14863636363636365,0.14272727272727273,0.15
M0,10,normalized_prediction_entropy,5,0.9867627685520206,0.004020767941687786,0.981770325753695,0.9917552113503462,0.9935096404054083,0.9858475602340521,0.9838209103019787,0.9869729181796947,0.9836628136389692
M0,10,gini,5,0.10132231404958678,0.015135704247374765,0.08252885499816173,0.12011577310101182,0.07487603305785123,0.10355371900826443,0.10834710743801655,0.1071900826446281,0.11264462809917354
M0,10,hhi,5,0.09636388429752066,0.001588045738145962,0.09439206507696389,0.09833570351807742,0.09369380165289257,0.09673347107438017,0.0974818181818182,0.09629462809917355,0.09761570247933885
M0,10,dominant_predicted_class_ratio,5,0.1431818181818182,0.008369069381600897,0.13279024603221493,0.15357339033142145,0.1290909090909091,0.14545454545454545,0.14863636363636365,0.14272727272727273,0.15
M0,12,accuracy,5,0.9193636363636364,0.0031915435784621933,0.9154008116035615,0.9233264611237113,0.9231818181818182,0.9213636363636364,0.9154545454545454,0.92,0.9168181818181819
M0,12,macro_f1,5,0.9139584653637124,0.004873035706195015,0.9079077923653686,0.9200091383620562,0.9201099089685727,0.9168870564225365,0.9087339811515543,0.9146613871973407,0.9093999930785576
M0,12,balanced_accuracy,5,0.9193636363636364,0.003191543578462086,0.9154008116035616,0.9233264611237112,0.9231818181818181,0.9213636363636362,0.9154545454545455,0.9199999999999999,0.9168181818181819
M0,12,prediction_concentration,5,0.14454545454545453,0.006106831292065642,0.13696282198699244,0.15212808710391662,0.1359090909090909,0.14454545454545453,0.14909090909090908,0.14181818181818182,0.15136363636363637
M0,12,normalized_prediction_entropy,5,0.9859059186240188,0.003410458521071027,0.9816712750610376,0.990140562187,0.990713258279899,0.9863906626262935,0.9835278296331463,0.9870255885440271,0.981872254036728
M0,12,gini,5,0.1058677685950413,0.010526246139844856,0.09279770772696459,0.118937829463118,0.08785123966942146,0.10719008264462807,0.11041322314049586,0.10859504132231403,0.1152892561983471
M0,12,hhi,5,0.09668090909090907,0.0012942140976111938,0.09507393003993747,0.09828788814188066,0.09483264462809918,0.09654545454545455,0.09759173553719007,0.09625289256198347,0.09818181818181818
M0,12,dominant_predicted_class_ratio,5,0.14454545454545453,0.006106831292065642,0.13696282198699244,0.15212808710391662,0.1359090909090909,0.14454545454545453,0.14909090909090908,0.14181818181818182,0.15136363636363637
M0,14,accuracy,5,0.9125454545454545,0.005067723175334085,0.9062530451257793,0.9188378639651298,0.9118181818181819,0.9186363636363636,0.9168181818181819,0.9081818181818182,0.9072727272727272
M0,14,macro_f1,5,0.9074258620367679,0.005343614885206004,0.9007908878135419,0.9140608362599939,0.9103415430536056,0.9129409421072361,0.9101869624436528,0.9034184870615121,0.9002413755178335
M0,14,balanced_accuracy,5,0.9125454545454545,0.005067723175334127,0.9062530451257793,0.9188378639651298,0.9118181818181817,0.9186363636363637,0.9168181818181818,0.9081818181818182,0.9072727272727271
M0,14,prediction_concentration,5,0.14336363636363636,0.011108964439095608,0.12957003516228546,0.15715723756498726,0.12636363636363637,0.14772727272727273,0.14954545454545454,0.13863636363636364,0.15454545454545454
M0,14,normalized_prediction_entropy,5,0.986363526020457,0.0054650698085281,0.9795777455915373,0.9931493064493766,0.9946233868842997,0.984362503777532,0.9830052309784638,0.9888978394306059,0.9809286690313833
